📋 Seed plan:
   States: CT, NY, MA, RI, MI
   Categories: 25
   Budget cap: 20000 calls (~$340.00)
   Previously completed: 0 cells
   Calls already made: 0
   Dry run: no
   Total cells: 6650
   Remaining: 6650
   Estimated cost remaining: ~$113.05
   🌐 [1/6650] CT/Bethel/hvac: 14 vendors
   🌐 [2/6650] CT/Bethel/plumbing: 14 vendors
   🌐 [3/6650] CT/Bethel/electrical: 14 vendors
   🌐 [4/6650] CT/Bethel/roofing: 14 vendors
   🌐 [5/6650] CT/Bethel/chimney_sweep: 14 vendors
   🌐 [6/6650] CT/Bethel/tree_service: 14 vendors
   🌐 [7/6650] CT/Bethel/garage_door: 9 vendors
   🌐 [8/6650] CT/Bethel/septic_pumper: 13 vendors
   🌐 [9/6650] CT/Bethel/well_water_service: 13 vendors
   🌐 [10/6650] CT/Bethel/landscaping: 4 vendors
   🌐 [11/6650] CT/Bethel/pest_control: 4 vendors
   🌐 [12/6650] CT/Bethel/pool_service: 4 vendors
   🌐 [13/6650] CT/Bethel/solar: 4 vendors
   🌐 [14/6650] CT/Bethel/security: 4 vendors
   🌐 [15/6650] CT/Bethel/irrigation: 4 vendors
   🌐 [16/6650] CT/Bethel/waterproofing: 4 vendors
   🌐 [17/6650] CT/Bethel/electric: 14 vendors
   💾 [18/6650] CT/Bethel/natural_gas: 14 vendors
   🌐 [19/6650] CT/Bethel/oil: 10 vendors
   🌐 [20/6650] CT/Bethel/propane: 11 vendors
   🌐 [21/6650] CT/Bethel/water: 10 vendors
   🌐 [22/6650] CT/Bethel/trash: 14 vendors
   🌐 [23/6650] CT/Bethel/internet_cable: 14 vendors
   🌐 [24/6650] CT/Bethel/home_insurance: 14 vendors
   🌐 [25/6650] CT/Bethel/auto_insurance: 14 vendors
   🌐 [26/6650] CT/Bridgeport/hvac: 14 vendors
   🌐 [27/6650] CT/Bridgeport/plumbing: 14 vendors
   🌐 [28/6650] CT/Bridgeport/electrical: 14 vendors
   🌐 [29/6650] CT/Bridgeport/roofing: 14 vendors
   🌐 [30/6650] CT/Bridgeport/chimney_sweep: 14 vendors
   🌐 [31/6650] CT/Bridgeport/tree_service: 14 vendors
   🌐 [32/6650] CT/Bridgeport/garage_door: 14 vendors
   🌐 [33/6650] CT/Bridgeport/septic_pumper: 14 vendors
   🌐 [34/6650] CT/Bridgeport/well_water_service: 14 vendors
   🌐 [35/6650] CT/Bridgeport/landscaping: 4 vendors
   🌐 [36/6650] CT/Bridgeport/pest_control: 4 vendors
   🌐 [37/6650] CT/Bridgeport/pool_service: 4 vendors
   🌐 [38/6650] CT/Bridgeport/solar: 4 vendors
   🌐 [39/6650] CT/Bridgeport/security: 4 vendors
   🌐 [40/6650] CT/Bridgeport/irrigation: 4 vendors
   🌐 [41/6650] CT/Bridgeport/waterproofing: 4 vendors
   🌐 [42/6650] CT/Bridgeport/electric: 14 vendors
   🌐 [43/6650] CT/Bridgeport/natural_gas: 14 vendors
   🌐 [44/6650] CT/Bridgeport/oil: 14 vendors
   🌐 [45/6650] CT/Bridgeport/propane: 14 vendors
   🌐 [46/6650] CT/Bridgeport/water: 10 vendors
   🌐 [47/6650] CT/Bridgeport/trash: 14 vendors
   🌐 [48/6650] CT/Bridgeport/internet_cable: 10 vendors
   🌐 [49/6650] CT/Bridgeport/home_insurance: 14 vendors
   🌐 [50/6650] CT/Bridgeport/auto_insurance: 14 vendors
   🌐 [51/6650] CT/Brookfield/hvac: 14 vendors
   🌐 [52/6650] CT/Brookfield/plumbing: 14 vendors
   🌐 [53/6650] CT/Brookfield/electrical: 14 vendors
   🌐 [54/6650] CT/Brookfield/roofing: 14 vendors
   🌐 [55/6650] CT/Brookfield/chimney_sweep: 14 vendors
   🌐 [56/6650] CT/Brookfield/tree_service: 14 vendors
   🌐 [57/6650] CT/Brookfield/garage_door: 14 vendors
   🌐 [58/6650] CT/Brookfield/septic_pumper: 14 vendors
   🌐 [59/6650] CT/Brookfield/well_water_service: 14 vendors
   🌐 [60/6650] CT/Brookfield/landscaping: 4 vendors
   🌐 [61/6650] CT/Brookfield/pest_control: 4 vendors
   🌐 [62/6650] CT/Brookfield/pool_service: 4 vendors
   🌐 [63/6650] CT/Brookfield/solar: 4 vendors
   🌐 [64/6650] CT/Brookfield/security: 4 vendors
   🌐 [65/6650] CT/Brookfield/irrigation: 4 vendors
   🌐 [66/6650] CT/Brookfield/waterproofing: 4 vendors
   🌐 [67/6650] CT/Brookfield/electric: 14 vendors
   🌐 [68/6650] CT/Brookfield/natural_gas: 14 vendors
   🌐 [69/6650] CT/Brookfield/oil: 14 vendors
   🌐 [70/6650] CT/Brookfield/propane: 14 vendors
   🌐 [71/6650] CT/Brookfield/water: 10 vendors
   🌐 [72/6650] CT/Brookfield/trash: 14 vendors
   🌐 [73/6650] CT/Brookfield/internet_cable: 14 vendors
   🌐 [74/6650] CT/Brookfield/home_insurance: 14 vendors
   🌐 [75/6650] CT/Brookfield/auto_insurance: 14 vendors
   🌐 [76/6650] CT/Danbury/hvac: 14 vendors
   🌐 [77/6650] CT/Danbury/plumbing: 14 vendors
   🌐 [78/6650] CT/Danbury/electrical: 14 vendors
   🌐 [79/6650] CT/Danbury/roofing: 14 vendors
   🌐 [80/6650] CT/Danbury/chimney_sweep: 14 vendors
   🌐 [81/6650] CT/Danbury/tree_service: 14 vendors
   🌐 [82/6650] CT/Danbury/garage_door: 14 vendors
   🌐 [83/6650] CT/Danbury/septic_pumper: 14 vendors
   🌐 [84/6650] CT/Danbury/well_water_service: 14 vendors
   🌐 [85/6650] CT/Danbury/landscaping: 4 vendors
   🌐 [86/6650] CT/Danbury/pest_control: 4 vendors
   🌐 [87/6650] CT/Danbury/pool_service: 4 vendors
   🌐 [88/6650] CT/Danbury/solar: 4 vendors
   🌐 [89/6650] CT/Danbury/security: 4 vendors
   🌐 [90/6650] CT/Danbury/irrigation: 4 vendors
   🌐 [91/6650] CT/Danbury/waterproofing: 4 vendors
   🌐 [92/6650] CT/Danbury/electric: 14 vendors
   🌐 [93/6650] CT/Danbury/natural_gas: 14 vendors
   🌐 [94/6650] CT/Danbury/oil: 14 vendors
   🌐 [95/6650] CT/Danbury/propane: 14 vendors
   🌐 [96/6650] CT/Danbury/water: 12 vendors
   🌐 [97/6650] CT/Danbury/trash: 14 vendors
   🌐 [98/6650] CT/Danbury/internet_cable: 12 vendors
   🌐 [99/6650] CT/Danbury/home_insurance: 14 vendors
   🌐 [100/6650] CT/Danbury/auto_insurance: 14 vendors
   🌐 [101/6650] CT/Darien/hvac: 14 vendors
   🌐 [102/6650] CT/Darien/plumbing: 14 vendors
   🌐 [103/6650] CT/Darien/electrical: 14 vendors
   🌐 [104/6650] CT/Darien/roofing: 14 vendors
   🌐 [105/6650] CT/Darien/chimney_sweep: 14 vendors
   🌐 [106/6650] CT/Darien/tree_service: 14 vendors
   🌐 [107/6650] CT/Darien/garage_door: 14 vendors
   🌐 [108/6650] CT/Darien/septic_pumper: 14 vendors
   🌐 [109/6650] CT/Darien/well_water_service: 14 vendors
   🌐 [110/6650] CT/Darien/landscaping: 4 vendors
   🌐 [111/6650] CT/Darien/pest_control: 4 vendors
   🌐 [112/6650] CT/Darien/pool_service: 4 vendors
   🌐 [113/6650] CT/Darien/solar: 4 vendors
   🌐 [114/6650] CT/Darien/security: 4 vendors
   🌐 [115/6650] CT/Darien/irrigation: 4 vendors
   🌐 [116/6650] CT/Darien/waterproofing: 4 vendors
   🌐 [117/6650] CT/Darien/electric: 14 vendors
   🌐 [118/6650] CT/Darien/natural_gas: 14 vendors
   🌐 [119/6650] CT/Darien/oil: 14 vendors
   🌐 [120/6650] CT/Darien/propane: 11 vendors
   🌐 [121/6650] CT/Darien/water: 10 vendors
   🌐 [122/6650] CT/Darien/trash: 14 vendors
   🌐 [123/6650] CT/Darien/internet_cable: 13 vendors
   🌐 [124/6650] CT/Darien/home_insurance: 14 vendors
   🌐 [125/6650] CT/Darien/auto_insurance: 14 vendors
   🌐 [126/6650] CT/Easton/hvac: 14 vendors
   🌐 [127/6650] CT/Easton/plumbing: 14 vendors
   🌐 [128/6650] CT/Easton/electrical: 14 vendors
   🌐 [129/6650] CT/Easton/roofing: 14 vendors
   🌐 [130/6650] CT/Easton/chimney_sweep: 14 vendors
   🌐 [131/6650] CT/Easton/tree_service: 14 vendors
   🌐 [132/6650] CT/Easton/garage_door: 14 vendors
   🌐 [133/6650] CT/Easton/septic_pumper: 12 vendors
   🌐 [134/6650] CT/Easton/well_water_service: 14 vendors
   🌐 [135/6650] CT/Easton/landscaping: 4 vendors
   🌐 [136/6650] CT/Easton/pest_control: 4 vendors
   🌐 [137/6650] CT/Easton/pool_service: 4 vendors
   🌐 [138/6650] CT/Easton/solar: 4 vendors
   🌐 [139/6650] CT/Easton/security: 4 vendors
   🌐 [140/6650] CT/Easton/irrigation: 4 vendors
   🌐 [141/6650] CT/Easton/waterproofing: 4 vendors
   🌐 [142/6650] CT/Easton/electric: 14 vendors
   🌐 [143/6650] CT/Easton/natural_gas: 14 vendors
   🌐 [144/6650] CT/Easton/oil: 14 vendors
   🌐 [145/6650] CT/Easton/propane: 14 vendors
   🌐 [146/6650] CT/Easton/water: 10 vendors
   🌐 [147/6650] CT/Easton/trash: 14 vendors
   🌐 [148/6650] CT/Easton/internet_cable: 11 vendors
   🌐 [149/6650] CT/Easton/home_insurance: 14 vendors
   🌐 [150/6650] CT/Easton/auto_insurance: 14 vendors
   🌐 [151/6650] CT/Fairfield/hvac: 14 vendors
   🌐 [152/6650] CT/Fairfield/plumbing: 14 vendors
   🌐 [153/6650] CT/Fairfield/electrical: 14 vendors
   🌐 [154/6650] CT/Fairfield/roofing: 14 vendors
   🌐 [155/6650] CT/Fairfield/chimney_sweep: 14 vendors
   🌐 [156/6650] CT/Fairfield/tree_service: 14 vendors
   🌐 [157/6650] CT/Fairfield/garage_door: 14 vendors
   🌐 [158/6650] CT/Fairfield/septic_pumper: 14 vendors
   🌐 [159/6650] CT/Fairfield/well_water_service: 14 vendors
   🌐 [160/6650] CT/Fairfield/landscaping: 4 vendors
   🌐 [161/6650] CT/Fairfield/pest_control: 4 vendors
   🌐 [162/6650] CT/Fairfield/pool_service: 4 vendors
   🌐 [163/6650] CT/Fairfield/solar: 4 vendors
   🌐 [164/6650] CT/Fairfield/security: 4 vendors
   🌐 [165/6650] CT/Fairfield/irrigation: 4 vendors
   🌐 [166/6650] CT/Fairfield/waterproofing: 4 vendors
   🌐 [167/6650] CT/Fairfield/electric: 14 vendors
   🌐 [168/6650] CT/Fairfield/natural_gas: 14 vendors
   🌐 [169/6650] CT/Fairfield/oil: 14 vendors
   🌐 [170/6650] CT/Fairfield/propane: 14 vendors
   🌐 [171/6650] CT/Fairfield/water: 11 vendors
   🌐 [172/6650] CT/Fairfield/trash: 14 vendors
   🌐 [173/6650] CT/Fairfield/internet_cable: 11 vendors
   🌐 [174/6650] CT/Fairfield/home_insurance: 14 vendors
   🌐 [175/6650] CT/Fairfield/auto_insurance: 14 vendors
   🌐 [176/6650] CT/Greenwich/hvac: 14 vendors
   🌐 [177/6650] CT/Greenwich/plumbing: 14 vendors
   🌐 [178/6650] CT/Greenwich/electrical: 14 vendors
   🌐 [179/6650] CT/Greenwich/roofing: 14 vendors
   🌐 [180/6650] CT/Greenwich/chimney_sweep: 14 vendors
   🌐 [181/6650] CT/Greenwich/tree_service: 14 vendors
   🌐 [182/6650] CT/Greenwich/garage_door: 14 vendors
   🌐 [183/6650] CT/Greenwich/septic_pumper: 14 vendors
   🌐 [184/6650] CT/Greenwich/well_water_service: 14 vendors
   🌐 [185/6650] CT/Greenwich/landscaping: 4 vendors
