Category	Title	Season	Frequency	Priority	Cost	Who handles	Routing hint	Always pro (safety)	Warranty-linked	DIY minutes	DIY note	Required subtypes	Essential (seeded)	Pro required	Bundle	Bundle title	Regional gate	Max interval (days)	Description	Notes
Roofing	Annual roof inspection	Fall	Annually	High	$200–$400	Vendor (safety-floor, always pro)		true	false				true	true	Roofing:spring				Inspect for damage, wear, and potential leaks.	
Roofing	Check for damaged shingles	Spring	Semi-annually	Medium	$150–$300	Vendor (safety-floor, always pro)		true	false			roof_asphalt	true	true	Roofing:spring				Roofer walks the roof looking for missing, curled, or cracked shingles. Part of the annual inspection or a dedicated post-storm visit.	Also after major storms
Roofing	Reseal flashing and seams	Spring	Annually	High	$150–$400	Vendor (safety-floor, always pro)		true	false			roof_flat	true	true					Inspect and reseal flashing, seams, and penetrations on flat/membrane roof.	Critical on flat roofs to prevent ponding leaks
Roofing	Treat moss and algae	Fall	Annually	Medium	$50–$200	Vendor (safety-floor, always pro)		true	false			roof_wood	false	true					Apply moss/algae treatment to prevent shingle damage and discoloration.	Wood shake roofs are fragile and require pro safety gear
Roofing	Clean gutters and downspouts	Spring	Semi-annually	High	$150–$300	Vendor (safety-floor, always pro)		true	false				true	true	Roofing:spring	Roof and Gutter Service			Roofer or gutter service clears debris and verifies downspouts drain away from the foundation.	Spring and fall
Roofing	Inspect flashing around chimney/vents	Fall	Annually	Medium	$0 (part of inspection)	Vendor (safety-floor, always pro)		true	false				false	true	Roofing:spring				Roofer verifies flashing around chimneys, vents, and skylights is intact and properly sealed.	
Roofing	Inspect attic ventilation and insulation	Fall	Every 2 years	Medium	$100–$300	Vendor (default)		false	false				true	true					Check for adequate ventilation, insulation depth, pest damage, and signs of moisture. Critical for ice dam prevention and winter energy efficiency.	Often bundled into the fall handyman visit or roof inspection.
Siding/Exterior	Power wash exterior siding	Spring	Annually	Low	$200–$400	Vendor (default)		false	false				true	true	Siding/Exterior:annual	Annual Exterior Maintenance			Pressure washer soft-washes siding to remove dirt, mildew, and algae buildup.	
Siding/Exterior	Deck and patio annual service	Spring	Annually	Medium	$150–$400	Vendor (default)		false	false				false	true	Siding/Exterior:annual				Handyman or deck pro inspects deck boards, railings, and stairs for rot or loose fasteners; spot-seals as needed. Full stain or seal every 2-3 years.	Seal or stain every 2-3 years
Siding/Exterior	Exterior paint touch-up walkaround	Spring	Annually	Low	$200-800	Vendor (default)		false	false				false	true					Walk the exterior with the painter or your handyman to identify peeling, chipping, or weathered paint that needs touch-up. Full repaint is every 7-10 years; annual touch-up extends the interval significantly.	
Siding/Exterior	Deck or fence staining	Spring	Every 2-3 years	Medium	$500-2,500	Vendor (default)		false	false				false	true					Strip, sand, and re-stain or seal wood deck and fencing. Annual cleaning extends life; staining every 2-3 years preserves the wood structurally.	Best done in late spring after the wood has fully dried out from winter.
Siding/Exterior	Exterior painting refresh	Summer	Every 10 years	Medium	$5,000-15,000	Vendor (default)		false	false				false	true					Full exterior paint refresh — scraping, priming, and repainting of siding, trim, and exterior features. Major cycle that HNW owners plan and budget for well in advance.	Plan the contract in winter to lock in a slot on the painter's summer schedule.
Siding/Exterior	Driveway seal coat	Fall	Every 2-3 years	Medium	$300–$600	DIY-capable (opt-in for DIY users)	DIY-able if user opts in	false	false	180		driveway_asphalt	false	false					Apply asphalt sealer to protect the driveway against UV, water, and oil damage. Extends driveway life significantly over unsealed asphalt.	Early fall while daytime temps are still warm enough for the sealer to cure. About 3 hours DIY for a typical driveway, or book an asphalt service for a no-effort finish.
HVAC	HVAC tune-up (cooling)	Spring	Annually	High	$150–$300	Vendor (default)		false	true			has_ac	true	true				420	HVAC tech inspects and services the air conditioning system before summer.	Schedule before summer heat
HVAC	HVAC tune-up (heating)	Fall	Annually	High	$150–$300	Vendor (default)		false	true			has_furnace	true	true				420	HVAC tech inspects and services the heating system before winter.	Schedule before cold weather
HVAC	Inspect ductwork for leaks	Any	Every 2-3 years	Medium	$200–$400	Vendor (default)		false	false			ducted	false	true					HVAC tech inspects ductwork for air leaks that reduce efficiency.	
HVAC	Inspect mini-split outdoor unit	Spring	Annually	Medium	$100–$200	Vendor (default)		false	false			mini_split	true	true					HVAC tech clears debris from the condenser, checks refrigerant lines, and cleans the coil.	
HVAC	Bleed radiators	Fall	Annually	Medium	$50–$150	Vendor (default)		false	false			boiler	true	true					Boiler tech bleeds trapped air from each radiator. Usually included in the annual boiler service visit.	Most boiler owners include this in their annual service visit
HVAC	Annual boiler service	Fall	Annually	High	$200–$400	Vendor (safety-floor, always pro)		true	true			boiler	true	true				420	Combustion check, clean burners, inspect heat exchanger, check pressure relief valve, verify exhaust draft.	Required for warranty on most boilers
HVAC	Geothermal loop pressure check	Any	Annually	High	$150–$300	Vendor (safety-floor, always pro)		true	false			geothermal	true	true					Geothermal installer verifies ground loop pressure and antifreeze concentration. A drop of more than 5 PSI/year indicates a leak.	
HVAC	Air duct cleaning	Any	Every 3-5 years	Medium	$400-800	Vendor (default)		false	false			ducted	false	true					Professional cleaning of the full supply and return ductwork — removes dust, allergens, and debris. Separate from the annual HVAC tune-up.	HNW indoor air quality priority. Best done when HVAC is not in heavy use.
HVAC	Flush HVAC condensate drain line	Spring	Annually	Medium	$0 (DIY) or $50 (pro)	DIY-capable (opt-in for DIY users)	DIY-able if user opts in	false	false	10		has_ac	false	false					Pour a cup of distilled white vinegar down the condensate drain access tee to clear algae and biofilm. Prevents the summer clog that trips the float switch and leaks water into the pan.	Often bundled into the spring cooling tune-up. DIY: locate the white PVC pipe with a threaded cap near the indoor air handler, unscrew the cap, pour vinegar.
HVAC	Whole-home humidifier service	Fall	Annually	Medium	$75-150	Vendor (default)		false	false			has_humidifier	false	true			northeast		HVAC tech services the whole-home humidifier: replaces the evaporator pad, checks the water line and solenoid, verifies setpoint against your thermostat.	Often bundled with the fall HVAC tune-up visit.
Plumbing	Drain cleaning	Any	Every 2 years	Medium	$150–$300	Vendor (default)		false	false				true	true					Plumber clears main drains to prevent backups.	
Plumbing	Test sump pump battery backup	Spring	Semi-annually	High	$0 (DIY)	DIY (always — surfaces as personal task)	Surfaces as DIY	false	false	10		sump_pump, has_sump_battery_backup	true	false					Unplug the primary sump pump to verify the battery backup engages and can move water. Most backup batteries last 5-7 years — if it doesn't hold charge, replace before spring rains.	About 10 minutes DIY. Test in spring before wet season and in fall before storm season.
Water Heater	Flush water heater	Any	Annually	High	$100–$200	Vendor (default)		false	false			tank	true	true	Water Heater:annual	Annual Water Heater Service			Plumber drains and flushes sediment from the tank to maintain heating efficiency.	
Water Heater	Inspect anode rod	Any	Every 3 years	Medium	$80–$200	Vendor (default)		false	false			tank	false	true					"Check and replace sacrificial anode rod to prevent tank corrosion. Requires partial drain plus a 1-1/16\"" socket and breaker bar."	Replace if more than 50% depleted
Water Heater	Test T&P relief valve	Any	Annually	High	$0 (part of flush)	Vendor (default)		false	false				true	true	Water Heater:annual				Plumber tests the temperature and pressure relief valve for proper operation. Typically bundled with the annual water heater flush.	Safety-critical valve check
Water Heater	Descale tankless heater	Any	Annually	High	$0–$150	Vendor (safety-floor, always pro)		true	false			tankless	true	false					Flush vinegar/descaler through the tankless unit to remove mineral buildup.	Hard water areas may need every 6 months
Septic System	Septic tank pumping	Any	Every 3-5 years	High	$300–$600	Vendor (safety-floor, always pro)		true	false				true	true	Septic System:triennial	Septic Service Visit		1825	Pumping of septic tank to remove accumulated solids.	Frequency depends on household size and tank size
Septic System	Inspect septic baffles	Any	Every 3-5 years	Medium	Included with pumping	Vendor (default)		false	false				true	true	Septic System:triennial				Septic service inspects baffles during pumping to ensure they're intact.	Done during pumping
Well System	Test water quality	Spring	Annually	High	$50–$200	Vendor (safety-floor, always pro)		true	false				true	true					Lab test for bacteria, nitrates, pH, and other contaminants.	Test more frequently if you notice taste/odor changes
Well System	Well system inspection	Any	Every 3-5 years	High	$300–$500	Vendor (default)		false	false				true	true					Well service comprehensively inspects pump, casing, pressure tank, and water flow.	
Electrical	Replace smoke detectors	Any	Every 10 years	High	$100–$250	Vendor (default)		false	false				false	true					Electrician or handyman replaces smoke detectors that have passed their 10-year lifespan. Detectors have a manufacture date printed on the back.	
Electrical	Inspect electrical panel	Any	Every 3 years	Medium	$150–$300	Vendor (safety-floor, always pro)		true	false				false	true					Electrician inspects the main breaker panel for wear or overheating.	
Electrical	EV charger inspection	Any	Annually	Medium	$100-200	Vendor (safety-floor, always pro)		true	false			has_ev_charger	false	true					Electrician inspects the EV charging station, the dedicated circuit, the connections, and the charging cable for wear or heat signatures. Higher-amperage L2 installs benefit the most from an annual check.	
Electrical	IR scan of main electrical panel	Any	Every 3 years	Medium	$200-500	Vendor (safety-floor, always pro)		true	false				false	true					Electrician uses a thermal imaging camera to identify loose breaker connections and pre-arc heat signatures before they fail. Non-invasive ~30 minute visit; pairs with the 3-year visual inspection.	Ask for thermal images to be included in the service report for your home records.
Electrical	Heat cable inspection	Fall	Annually	High	$150-400	Vendor (safety-floor, always pro)		true	false			has_heat_cables	false	true			northeast		Electrician verifies heat trace cables on gutters, roof edges, or exposed pipes are intact, properly thermostat-controlled, and drawing the right amperage. Replace damaged sections before snowfall.	Pair with the heating tune-up or fall roof inspection so the electrician can see the cable routing.
Electrical	Outdoor lighting system service	Spring	Annually	Low	$150-400	Vendor (default)		false	false			has_outdoor_lighting	false	true					Lighting tech inspects every fixture, re-aims lamps, replaces bulbs, checks transformer output, and reseals any failed connections. Catches the dim-spot-here / dark-spot-there drift that accumulates over a year.	Best done in early spring before you're outside at night enjoying the landscape.
Electrical	Fire extinguisher annual check	Spring	Annually	Medium	$0 (DIY) or $50 (service)	DIY (always — surfaces as personal task)	Surfaces as DIY	false	false	15			true	false					Walk to every extinguisher, verify the pressure gauge is in the green, the tamper seal is intact, and the inspection tag is signed for the current year. Replace any unit past its 12-year service life.	Log inspection dates on the tag so you can track service history. Commercial recharge runs $25-75 per extinguisher.
Chimney	Annual chimney sweep	Fall	Annually	High	$200–$400	Vendor (safety-floor, always pro)		true	false			wood	true	true					Chimney sweep cleans and inspects the chimney and flue. Critical for wood-burning fireplaces to prevent creosote buildup and chimney fires.	Schedule before first use each season. Each chimney is swept separately — if you have multiple flues, mention it so the sweep allocates the right amount of time.
