#	ID	Chapter	Section	Title	Description	Intent	Kind	Answer Options	Search Mechanic	Source Line
1	q1_roof_material	Your Home	homeBasics	What kind of roof do you have?	We'll set the right inspection cadence for your material.	Pick the roof material so MaintenanceTemplates picks the right inspection cadence (asphalt vs flat membrane vs wood shake each have distinct requiredSubtypes).	singleChoice	Asphalt Shingle | Metal | Tile | Slate | Wood Shake | Flat Membrane | Not sure	None	138
2	q2_siding	Your Home	homeBasics	What's your exterior siding?	Some materials need yearly attention, others just once a decade.	Capture siding material. Drives which Siding/Exterior templates apply (power wash, staining) and sets cost-to-repaint estimates.	singleChoice	Vinyl | Wood | Brick | Stucco | Fiber Cement | Stone | Mixed	None	155
3	q3_heating_fuel	Your Home	homeBasics	How do you heat your home?	We use this to schedule fuel deliveries and tank inspections.	Fuel type drives Q19's provider picker, creates the heating system row, and narrows the Q22 generator branch to matching fuels.	singleChoice	Natural Gas | Oil | Electric | Propane | Geothermal | Not sure	None	171
4	q3b_hvac_type	Your Home	homeBasics	What kind of HVAC system?	We use this to set the right maintenance schedule for your specific setup.	Topology (central ducted / mini-split / boiler / heat pump / geothermal) controls which HVAC maintenance templates seed. q3 fuel alone isn't enough because a gas home can run central+mini-split.	singleChoice	Central AC + furnace | Mini-split / ductless | Boiler + central AC | Boiler / radiators (no AC) | Boiler + window AC units | Heat pump (one system) | Geothermal | Not sure	None	192
5	q4_purchase	Your Home	homeBasics	How did you get this home?	Add a purchase price if you have it. We'll use it for your investment dashboard.	Capture purchase price + ownership origin. Feeds the investment summary card, refinance scenarios, and estate planning. State A vs State B copy handles the case where ATTOM already filled this in.	currency	Bought existing | Custom build | Inherited | Other	Document upload shortcut: category = mortgage; Currency input with ownership chip picker (bought / custom build / inherited / other).	209
6	q5_mortgage	Your Home	homeBasics	Do you have a mortgage on this home?	We'll surface refinance opportunities when rates move.	Is there a mortgage? Yes-path captures lender for refinance nudges. No or skip paths still persist so Alfred knows not to surface refi tools.	yesNoLender	Yes | No, paid off | Prefer not to say	Yes branch reveals lender-name text input.	223
7	q6_water_source	Your Home	inside	Where does your water come from?		Municipal vs private / shared well. Creates the Well system row for private/shared and seeds the annual water-test + pump-service templates.	singleChoice	Municipal | Private well | Shared well | Not sure	None	240
8	q7_sewer_septic	Your Home	inside	Sewer or septic?	Septic systems need pumping every 3-5 years.	Septic triggers the Septic system + triennial pumping bundle. Sewer suppresses those templates entirely.	singleChoice	Municipal sewer | Septic | Not sure	None	252
9	q8_water_heater	Your Home	inside	What kind of water heater do you have?		Tank vs tankless vs heat pump creates the Water Heater system with the right subtype and seeds the matching flush / descale / anode-rod templates.	singleChoice	Tank, gas | Tank, electric | Tankless, gas | Tankless, electric | Heat pump | Not sure	None	264
10	q9_basement	Your Home	inside	Do you have a basement or crawl space?	Pick all that apply.	Basement / crawl / slab affects sump pump templates, foundation inspection cadence, and humidity recommendations.	multiSelect	Finished basement | Unfinished basement | Crawl space | Slab | Not sure	None	278
